I tê	You're small
Aw ka thiannu, i hmuiah a far e, khuaipui zû: I tawngkamah khawizu, hnute tui: I silhfen rim Lebanon rim ang.	Your lips are dropping honey; honey and milk are under your tongue; and the smell of your clothing is like the smell of Lebanon.
Hnamdang mi chu in țhing lui thei ang a; amaherawhchu in ta engpawh in unaute lo hman chu in ngaidam tur a ni.	A man of another nation may be forced to make payment of his debt, but if your brother has anything of yours, let it go;
Chu mi khawnvar dahna leh a hmanrua tur zawng zawng siam nan chuan rangkachak hlir hlak talent khat a hmang a.	A talent of the best gold was used for the making of it and its vessels.
Aw LALPA, i thilsiam zawng zawng chuan i hnênah lawm thu an hril ang a; Mi thianghlimte pawhin an fak ang che.	All the works of your hands give praise to you, O Lord; and your saints give you blessing.
He ram pum pui hi a chhia ang a, a ram ang; tin, heng hnamte hian Babulon lal rawng kum sâwmsarih an bâwl ang.	All this land will be a waste and a cause of wonder; and these nations will be the servants of the king of Babylon for seventy years.
Tin, Gerar khua atangin Abimeleka chu a thian Ahuzzatha nen, a sipai pâwl hotu Phikola nen, a hnênah an kal a.	And Abimelech had come to him from Gerar, with Ahuzzath his friend and Phicol, the captain of his army.
Tin, Nera fapa Abnera leh Saula fapa Is-bosetha chhiahhlawhte hchu Mahanaim ata an chuak a, Gibeo-ah an kal a.	And Abner, the son of Ner, with the servants of Saul's son Ish-bosheth, went out from Mahanaim to Gibeon.
tin, Adorama chu hnathawka rawih luihte hotu a ni a; tin, Ahiluda fapa Jehosaphata chu chanchin ziaktu a ni a;	And Adoram was overseer of the forced work; and Jehoshaphat, the son of Ahilud, was the recorder;
Tin, Nangni Jentail zawng zawngte u, Lalpa chu fak rawh u; Mi zawng zawng pawhin Amah fak rawh se, a ti leh a.	And again, Give praise to the Lord, all you Gentiles; and let all the nations give praise to him.
Mihringte chu Aigupta ramri lehlam tâwp ațanga a lehlam tâwp thlengin, khuaahte chuan an insawntîr ta hlawm a.	And as for the people, he made servants of them, town by town, from one end of Egypt to the other.
Tin, chu mi thu avang chuan Mosia a tlan bo va. Midian ramah a thang reng a, chutah chuan fapa pahnih a nei a.	And at these words, Moses went in flight to the land of Midian, and was living there for a time, and had two sons.
Tichuan, Aw, thuro anga thla neih ka va duh êm! Chutichuan ka thawlk daih ang a, thlamuang takin ka awm ang a.	And I said, If only I had wings like a dove! for then I would go in flight from here and be at rest.
Tin, chuti chung pawha ka thu in la pawm loh cheu chuan in sualte avangin vawi sarih ka la hrem leh ang che u.	And if, even after these things, you will not give ear to me, then I will send you punishment seven times more for your sins.
Tin, puithiam te, zâwlneite leh mipui zawng zawngte chuan LALPA ina Jeremian heng thu a sawi hi an ngaithla a.	And in the hearing of the priests and the prophets and all the people, Jeremiah said these words in the house of the Lord.
Ama Fapa ngei pawh zuah lova, kan zaa aia petu chuan thil zawng zawng pawh athlawnin min pe tel lo va ngem ni?	And in the place where it was said to them, You are not my people, there they will be named the sons of the living God.
tawlailir pathumnaa mi chu sakawr var an ni a, talailir palinaa mi chu sakawr hmârsai, chak tak si hi an ni a.	And in the third, white horses; and in the fourth, horses of mixed colour.
Tin, Israela thlahte mipuiho ta kelpa pahnih sual thawi nan leh halral thilhlanah berampa pakhat a keng ang a.	And let him take from the children of Israel two he-goats for a sin-offering and one male sheep for a burned offering.
lei chung ên turin vân boruak zau takah chuan êntute awm bawk rawh se, a ti a: tichuan chutiang chu a ni ta a.	And let them be for lights in the arch of heaven to give light on the earth: and it was so.
In Pathian ngaihsaknaah chuan unaute hmangaihna telh ula, in unaute hmangaihnaah chuan hmangaihna telh rawh u.	And love of the brothers to fear of God, and to love of the brothers, love itself.
Tin, Mosia chuan, LALPAN heti hian a ti, 'Zan lai velah chuan Aigupta ram chhûngah hian ka lo kal tlâng ang a:	And Moses said, This is what the Lord says: About the middle of the night I will go out through Egypt:
Chutichuan a ngaihzawngte mit hmuhah A saruak zahmawh ka ti lang ang, Ka kut ata tumân an chhanchhuak lo vang.	And now I will make her shame clear before the eyes of her lovers, and no one will take her out of my hand.
Tin, chutah chuan lunghlute tlar liin an zep a: tlar khatna chu saridon te, topazion te, smarangdon te a ni a.	And on it they put four lines of stones: in the first line was a carnelian, a chrysolite, and an emerald;
Chutiang bawkin nangni zingah hian tupawh a neih zawng zawng kalsan lo apiang chu ka zirtir a ni thei lo vang.	And so whoever is not ready to give up all he has may not be my disciple.
Tin, Solomona chuan LALPA mithmuhin thil sual alo ti ta a, a pa Davida angin LALPA chu a zui tlat ve ta lo va.	And Solomon did evil in the eyes of the Lord, not walking in the Lord's ways with all his heart as David his father did.
tin, a parukna chu Ithreama, Davida nupui Ekli laka mi a ni a. Hêngte hi Davida fa Hebron-a piangte chu an ni.	And the sixth, Ithream, whose mother was David's wife Eglah. These were the sons of David, whose birth took place in Hebron.
chungah chuan anmahni nawmsak bawl luattuk anga inbawl ve tak loh hi mak an ti a, an sawichhe thin che u a ni;	And they are wondering that you no longer go with them in this violent wasting of life, and are saying evil things of you:
Mi an tir a, an zu ko va; tichuan Jeroboama leh Israel-ho zawng zawng chu an lo kal a, Rehoboama hnênah chuan,	And they sent for him; and Jeroboam and all Israel came to Rehoboam and said,
LALPA malsawmna in chungah awm rawh se; LALPA hmingin mal kan sawm che u hi, A kal peltuten an ti ngei hek lo.	And those who go by do not say, The blessing of the Lord be on you; we give you blessing in the name of the Lord.
Tin, a dak chhuak a, a zirtirte chu a en a. Nangni rethei te u, in eng a thawl e; Pathian ram in ta a ni si a.	And turning his eyes to his disciples he said, Happy are you who are poor: for the kingdom of God is yours.
Heti taka fel, dante leh rorêlte, tuna in hmaa ka zam zawng zawng ang dan nei hi hnam ropui dang tunge awm ve?	And what great nation has laws and decisions so right as all this law which I put before you today?
Tin, sabengtung no chu an phelh lai chuan a neituten an hnenah, Sabengtung no kha engah nge in phelh? an ti a.	And when they were getting the young ass, the owners of it said to them, Why are you taking the young ass?
Chutichuan, kan tuar zawh tak loh chinah chuan Atheni khuaah keimahni chauh hnutchhiahin awm ila tha kan ti a,	At last our desire to have news of you was so strong that, while we ourselves were waiting at Athens,
Bumin awm suh u; Pathian chu hmuhsit zia a ni lo ve; miin a theh apiang, chu mi vek chu a seng bawk dawn si a;	Be not tricked; God is not made sport of: for whatever seed a man puts in, that will he get back as grain.
mi vin tak i nih avangin ka hlau che a ni; i dah loh pawh i la thin a, i tuh loh pawh i at thin si a,’ a ti a.	Because I was in fear of you, for you are a hard man: you take up what you have not put down, and get in grain where you have not put seed.
Nimahsela nâng leh i chhiahhlawhteho hi zawngin LALPA Pathian hi in la tih chuang lo tih ka hria a ni, a ti a.	But as for you and your servants, I am certain that even now the fear of the Lord God will not be in your hearts.
ka pa in lamah, ka laichînte hnêna kalin ka fapa tân nupui i neihsak zâwk tûr a ni,' tiin chhia mi chhamtîr a.	But go to my father's house and to my relations for a wife for my son.
Mahse amah leh a rawngbawltute leh a rama mite chuan LALPA thu zâwlnei Jeremia kâa sawi chu an ngaithla lo va.	But he and his servants and the people of the land did not give ear to the words of the Lord which he said by Jeremiah the prophet.
Nimahsela a khuaten an hua a, ‘He mi hi kan lal atan kan duh lo ve,’ ti turin a hnungah palai an tlantir ve a.	But his people had no love for him, and sent representatives after him, saying, We will not have this man for our ruler.
Kei erawh chu mihring rêng rêng ka ni lo va, changpat mai ka ni a; Mihringte sawichhiat leh mite hmusit ka ni.	But I am a worm and not a man; cursed by men, and looked down on by the people.
Ka tlakchham thu sawi zawng ka ni lo ve; kei zawng eng ang pawhin awm mah ila, lungawi zel ka ching tawh si a.	But I will not say anything about my needs, for I am able, wherever I am, to be dependent on myself.
Nimahsela ngaihtuah niah chuan nangni tuar tur ai chuan Tura leh Sidon khaw tuar tur chu a zia a awm zawk ang.	But it will be better for Tyre and Sidon, in the day of judging, than for you.
an lakah chuan in thilphal ngei ngei tur a ni a, an tlakchhamnaa an mamawh phuhrukna khawp in pûktir tur a ni.	But let your hand be open to give him the use of whatever he is in need of.
In tihlum ngei ngei tur a ni zawk a; a tihlum turin kut i thlâk hmasa ang a, chu mi hnuah mipui zawng zawngin.	But put him to death without question; let your hand be the first stretched out against him to put him to death, and then the hands of all the people.
Nimahsela thenkhat chuan, He mi, mit del mit tivartu hian he mi pawh hi a thih lohtir thei lo vem ni? an ti a.	But some of them said, This man, who made open the eyes of the blind man, was he not able to keep his friend from death?
Tin, lal leh a rawngbawltu, heng thu zawng zawng ngaithlatu tumahin an hlau lo va, an silhfên an thlêr hek lo.	But they had no fear and gave no signs of grief, not the king or any of his servants, after hearing all these words.
Tin, anni chuan hla tak atangin an lo hmu a, tichuan an kiang hnai a thlen hmain, amah thah thu an phiar ta a.	But they saw him when he was a long way off, and before he came near them they made a secret design against him to put him to death;
chungte chuan an aw an chhuah ang a, an au vang; LALPA ropuina avângin tuifinriat ațangin ring takin an au ve.	But those will be making sounds of joy; they will be crying loudly from the sea for the glory of the Lord.
Mi hausate u, ngai teh u khai! In chunga hrehawm lo thleng dawn mek avang chuan tap ula, chiau vak vak rawh u.	Come now, you men of wealth, give yourselves to weeping and crying because of the bitter troubles which are coming to you.
A pa hnênah, Eng nge i hrin ni? titu chung emaw, a nu hnênah, Eng nge i hrin dawn ni? titu chung emaw a pik e!	Cursed is he who says to a father, To what are you giving life? or to a woman, What are you in birth-pains with?
Mipa hian sam sei a neih chuan a tan a zahthlak a ni tih,in thinlung pianpui pawhin a hriattir lo che u em ni?	Does it not seem natural to you that if a man has long hair, it is a cause of shame to him?
chu chu bangte luan nân Ophir rangkachak, rangkachak talent sângthum leh tangkaraw thianghlim talen sângsarih;	Even three thousand talents of gold of Ophir and seven thousand talents of the best silver, for plating the walls of the house:
Thilnungte chuan khawilam pawh an hawisa vek a ni, in her lovin thlarauvin a duhna lam apiangah an kalho thei.	Every one of them went straight forward; wherever the spirit was to go they went; they went on without turning.
Tupawhin Dan zawm kim mah sela, kawng khata a tihsual si chuan a zaah chuan thiam loh changin a awm tawh a ni.	For anyone who keeps all the law, but makes a slip in one point, is judged to have gone against it all.
Pathianin thinurna tuar tur ni lovin, kan Lalpa Isua Krista zara chhandamna hmu tur zawkin min ruat a ni si a;	For God's purpose for us is not wrath, but salvation through our Lord Jesus Christ,
Heng a thu an sawia hi hnam hrang mi a ni si a, chu mi hnam zinga mi chu tumah maichamah chuan an che ngai lo.	For he of whom these things are said comes of another tribe, of which no man has ever made offerings at the altar.
Jentailte hnenah an pe ang a, nuihza siam nan an hmang ang a, zahthlak takin an siam ang a, chil an chhak ang;	For he will be given up to the Gentiles, and will be made sport of and put to shame:
Heroda chuan a unau Philipa nupui Herodi avangin Johana chu a man a, a phuar a, tan inah a lo khung tawh a ni;	For Herod had taken John and put him in prison because of Herodias, his brother Philip's wife.
Nangmahnia thil tha ti tantu khan Isua Krista ni thlengin a tifamkim zel dawn, chu ngei chu ka ring tlat si a.	For I am certain of this very thing, that he by whom the good work was started in you will make it complete till the day of Jesus Christ:
Bâwngla luhlul ang maiin Israel ho an luhlul a; Tûnah chuan LALPAN berâm no angin phûlah ka châwm thei ang em?	For Israel is uncontrolled, like a cow which may not be controlled; now will the Lord give them food like a lamb in a wide place.
Thlarau Thianghlim leh keinin, heng thu pawimawh lo hi chu, phurrit zual in chungah nghat lo ila a tha kan ti;	For it seemed good to the Holy Spirit and to us, to put on you nothing more than these necessary things;
Dan ang lova awm, thu sawi mai maite leh tihdertute mi tam tak an awm si a, serhtanho zinga mi an ni deuh ber;	For there are men who are not ruled by law; foolish talkers, false teachers, specially those of the circumcision,
Hreawm tuar mite chu i chhandam ang a: Mi chapote erawh chu i tihtlâwm theih nân an chungah i mit a fu reng a.	For you are the saviour of those who are in trouble; but your eyes are on men of pride, to make them low.
Heng mi, heta in rawn hruaite hi, biak in suamhmangte an ni hek lo, kan pathiannu sawichhetu lah an ni hek lo.	For you have taken these men, who are not doing damage to the holy place or talking against our goddess.
Tun achinah a lo thlen hmain ka hrilh che u hi, a lo thlen hunah kei, amah kha ka ni tih in rin theihna turin.	From this time forward, I give you knowledge of things before they come about, so that when they come about you may have belief that I am he.
Krista Isuaa mi thianghlim tinreng chibai mi buksak ang che u. Ka hnena unau awmte hian chibai an buk a che u.	Give words of love to every saint in Christ Jesus. The brothers who are with me send you their love.
LALPA hlauhawmna lak ațang leh a mawina ropuina lak ațang chuan lungpuiah chuan lût ula, vaivutah biru rawh u.	Go into a hole in the rock, covering yourselves with dust, in fear of the Lord, before the glory of his power.
Hre thiama Pathian zawng rêng rêng an awm emaw tih hre tûrin Pathianin van atnagin mihring fate hi a zuk en a.	God was looking down from heaven on the children of men, to see if there were any who had wisdom, searching after God.
Tahna ruam chu an zawhin tuihna awmnate an siam thin a, A ni, ruahtui tla hmasa chuan malsawmnain a khuh thin.	Going through the valley of balsam-trees, they make it a place of springs; it is clothed with blessings by the early rain.
I nihlawh e, nang ram, lal chu lal chi fapa leh Hotute ruih nân ni lo, chakna tûra hun dik taka ei thin neitu!	Happy is the land whose ruler is of noble birth, and whose chiefs take food at the right time, for strength and not for feasting.
Chu mi chu hriattir turin a lo kal a, eng thu chu hriattir turin; amah avanga mi zawng zawngin an rinna turin.	He came for witness, to give witness about the light, so that all men might have faith through him.
A pa Manasea intihnuai ang khan LALPA hmaah a intihnuai ve lo va. Amona hi chu a sual zual sauh sauh mai a ni.	He did not make himself low before the Lord, as his father Manasseh had done, but went on sinning more and more.
A thinurna atân chuan kawng a siamsak a, A nunna chu thihna lakah a hmum lo va, An nun chu hri a pe ta zawk a;	He let his wrath have its way; he did not keep back their soul from death, but gave their life to disease.
A zârte chu a țâwi luih ang a, A mawizia chu olive thing ang mai a ni ang a, Lebanon tlang angin a rimtui ang.	His branches will be stretched out, he will be beautiful as the olive-tree and sweet-smelling as Lebanon.
Hlum ina chengte chu a va ring lo zual dawn êm, Vaivuta siam mai a ni a, Phengphehlep anga awngrawp maite chu!	How much more those living in houses of earth, whose bases are in the dust! They are crushed more quickly than an insect;
Mipuite chu hmun sângahte chuan an la inthawi reng a, amerawhchu LALPA an Pathian hnênah chauh a ni ta zâwk a.	However, the people still made offerings in the high places, but only to the Lord their God.
Pathian khawngaihna chu ka bawh bo lo ve, Dan avanga felna a awm si chuan Krista chu athlawnin a thi a ni ang.	I do not make the grace of God of no effect: because if righteousness is through the law, then Christ was put to death for nothing.
Tun dam chhung chauhva Krista chunga beiseina kan neih chuan mi zawng zawnga khawngaihthlak ber kan lo ni ang.	If in this life only we have hope in Christ, we are of all men most unhappy.
Aw Pathian, mi suaksualte chu i that ngei ang: Chutichuan, nangni thisen chhuah chak mite u, mi kalsan rawh u.	If only you would put the sinners to death, O God; go far from me, you men of blood.
Rorêltu thin thawk mah sela, nangma chungah, I hmun kalsan suh ang che; Lungnih lohnate a tireh, zawldawhnain.	If the wrath of the ruler is against you, keep in your place; in him who keeps quiet even great sins may be overlooked.
Mi insual sela, a pakhat zawka nupui cuan a sualpui lak aa a pasal chhanchhuak turin a zahmawhah pawhsak sela,	If two men are fighting, and the wife of one of them, coming to the help of her husband, takes the other by the private parts;
Kan pute dam lai khan lo awm ve mah ila, zawlneite thisen an chhuahnaah chuan kan tel ve lo vang,’ in ti thin.	If we had been living in the days of our fathers, we would not have taken part with them in the blood of the prophets.
In thar in sak chuan chuta mi an tlaka inin chu thisen chhuahna in a nih loh nan in in chung in hung tur a ni.	If you are building a house, make a railing for the roof, so that the blood of any man falling from it will not come on your house.
Chung lai chuan Israelte zingah lal rêng rêng an awm lo va: mi tinn mahni tha tihzâwng zâwngin an ti mai a ni.	In those days there was no king in Israel: every man did what seemed right to him.
Israel ho chu lem zawhin an awm a ni: Bêl, a chhûnga lâwmna awm lo angin tûnah hian hnam dang zîngah an awm e.	Israel has come to destruction; now they are among the nations like a cup in which there is no pleasure.
LALPA, an mangan laiin an zawng ruai thin chia, i hremna chu an chunga a tlâk laiin an țawngțai mawlh mawlh a.	Lord, in trouble our eyes have been turned to you, we sent up a prayer when your punishment was on us.
rilru hmunkhata awmin, hmangaihna hmunkhat neiin, inthuruala rilru hmunkhata awmin, ka lawmna tifamkim rawh u.	Make my joy complete by being of the same mind, having the same love, being in harmony and of one mind;
Ka duhtak chu a chhuk ta, a huan hlo rimtui hmunah chuan, Huanah a rna rual tlattir leh A lili par lawr tûrin.	My loved one is gone down into his garden, to the beds of spices, to take food in the gardens, and to get lilies.
Tin, Athaliin mipui lal chawimawia an zi mur mur thâwm chu a hriatin LALPA inah mipui zingah chuan a va kal a;	Now Athaliah, hearing the noise of the people running and praising the king, came to the people in the house of the Lord:
Tichuan Kora chungchang thua thite tiam lovin hri-a thi zawng zawng chu singkhat leh sangli leh zasarih an ni.	Now fourteen thousand, seven hundred deaths were caused by that disease, in addition to those who came to their end because of what Korah had done.
Ngai teh u, kan thu an awih theih nan sakawr kaahte thirbarh kan barh chuan an taksa pum pawh kan kaiher thin.	Now if we put bits of iron into horses' mouths so that they may be guided by us, we have complete control of their bodies.
Mi fel aia thih miin a duh awm lo hle si a, mi tha ai erawh chuan mi tu emaw tal chuan thih a ngam mial mahna.	Now it is hard for anyone to give his life even for an upright man, though it might be that for a good man someone would give his life.
Tin, LALPA chuan Leaii chu huatin a awm tih a hria a, tichuan a chhûl a hawnsak a: Rakili erawh chu a ching a.	Now the Lord, seeing that Leah was not loved, gave her a child; while Rachel had no children.
Tin, Kalhlen Kuta Jerusalem khuaa a awm lai chuan a thilmak tithe an hmu a, mi tam takin a hming an ring ta a.	Now while he was in Jerusalem at the feast of the Passover, a great number of people came to have faith in his name, after seeing the signs which he did.
Aw LALPA kan hriatah chuan nangmah ang rêng rêng an awm lo va, nangmah lo chu pathian rêng rêng an awm hek lo.	O Lord, there is no one like you, and no other God but you, as is clear from everything which has come to our ears.
Aw LALPA, neihtîr rawh: Eng nge i neihtîr ang le? Chhûl nau chhiat țhin leh hnute vuai te chu neihtîr ang che.	O Lord, what will you give them? Give them bodies which may not give birth and breasts without milk.
tin, sanghawngsei enkawltu chu Ismael mi Obila a ni a; tin, sabengtun genkawltu chu Meronot mi Jehdeia a ni a;	Obil the Ishmaelite had control of the camels and Jehdeiah the Meronothite of the she-asses;
Basan sasua i vai chaah an siam e, Saingho chhûngphûm i lawng chhuatah Tufar thing, Tuipui ram kittim ata chu.	Of oak-trees from Bashan they have made your driving blades; they have made your floors of ivory and boxwood from the sea-lands of Kittim.
Nangin hnam tin zingah a chhe lam tehkhinnaah min awmtir a, Mi tin, zinga mite lu thinsanin min awmtir bawk a.	Our name is a word of shame among the nations, a sign for the shaking of heads among the peoples.
Pathian ram thu a hrilh a, Lal Isua Krista thu pawh huai takin a zirtir thin a, tumahin amah an khap si lo va.	Preaching the kingdom of God and teaching about the Lord Jesus Christ without fear, and no orders were given that he was not to do so.
Ngai rawh u, hmâr lam ram ata mite an lo kal e. Lei hmun tawp ata hna ropui tak leh lal tam tak an lo thawk e.	See, a people is coming from the north; a great nation and a number of kings will be put in motion from the inmost parts of the earth.
Ngai teh u, kei Paulan in hnena ka sawi hi, serh in tantir chuan Krista chu in tan engmah sawtna a ni lo vang.	See, I Paul say to you, that if you undergo circumcision, Christ will be of no use to you.
Chutichuan Amasa chu Juda mite ko khâwm tûrin a kal ta a; amaherawhchu a hun ruatsak aiin a va thang rei ta a.	So Amasa went to get all the men of Judah together, but he took longer than the time David had given him.
Chutichuan engte nge i kutah awm le: chhang hlawm nga min pe la, a nih loh leh i neih ang apiang pawh, a ti a.	So now, if you have here five cakes of bread, give them into my hand, or whatever you have.
Tichuan Elija sawi ang chuan a va t a: tin, amah le a chhûngte leh Elija nen chuan ni engzat emaw lai an ei a.	So she went and did as Elijah said; and she and he and her family had food for a long time.
Chutichuan, A maichâm tihchim avangin Baalan amah khing rawh se,: tiin, chu mi ni chuan Jerubaala a vuah ta a.	So that day he gave him the name of Jerubbaal, saying, Let Baal take up his cause against him because his altar has been broken down.
Chu mi avângin tuichhunchhuah chu Beer-lahai-roi vuah a ni ta a; Ngai teh, Kades leh Bered khaw inkârah a awm.	So that fountain was named, Fountain of Life and Vision: it is between Kadesh and Bered.
Chutichuan LALPAN chung hnamte chu hnawt chhuak nghal ta lovin a awmtir ta a; Josua kutah pawh a pe ta hek lo.	So the Lord let those nations go on living in the land, not driving them out quickly, and did not give them up into the hands of Joshua.
chutiang mite hnenah leh, hnathawha tanpui leh, thawk rim apiangte hnenah chuan intulut turin ka ngen a che u.	That you put yourselves under such, and under everyone who is helping the Lord's work.
Ka chunga ngilnei Pathian chuan mi hmuak ang a: Pathianin ka hmêlmate chngah ka thu duhsam chu mi hmuhtir ang.	The God of my mercy will go before me: God will let me see my desire effected on my haters.
LALPAN thinur a hlen ta, a thinrim hlauhawm a leih chhuak; Zionah mei a tialh a, a lungphûmte lamin a kâng zo.	The Lord has given full effect to his passion, he has let loose his burning wrath; he has made a fire in Zion, causing the destruction of its bases.
Thil ngaih dan thiam lo hotu chu mi hnechhiahtu a ni thin a, Awhna hawtu erawh chuan a dam chhûng a tisei ang.	The prince who has no sense is a cruel ruler; but he who has no desire to get profit for himself will have long life.
Ani chuan tuifinriat kha lei rovah a chantir a: Luipui kha kein an kal kai a: Chutah chuan anmahah kan hlim a.	The sea was turned into dry land: they went through the river on foot: there did we have joy in him.
Israel themthiamte milem siam chu, Pathian a ni lo. A ni, Samaria sebâwng no lim chu tihkeh sawm vek a ni ang;	The workman made it, it is no god; the ox of Samaria will be broken into bits.
An note chu an pian a tlâng a, Ram palailengah an thang lian a, An kal darh a, an puite hnênah an kir tawh lo.	Their young ones are strong, living in the open country; they go out and do not come back again.
Tin, a nau Abela a rawn hring leh a. Tin, Abela chu berâm vêngtuah a awm a, Kaina erawh chu lei leituah a awm.	Then again she became with child and gave birth to Abel, his brother. And Abel was a keeper of sheep, but Cain was a farmer.
Chutichuan Israel chi zawng zawng chu Hebron-a Davida hnênah an lo kal a, Ngai teh, i thisen zawmpui kan ni a,	Then all the tribes of Israel came to David in Hebron and said, Truly, we are your bone and your flesh.
he in hi Siloh angin ka siam ang a, lei chunga hnam zawng zawngte ânchhia dawng tûrin ka siam ang, ti ang che.	Then I will make this house like Shiloh, and will make this town a curse to all the nations of the earth.
Tin, Josua leh Israel-ho zawng zawngte chu dawl ta ni awm takin an awm a, thlaler lam kawngah an tlan chiam a.	Then Joshua and all Israel, acting as if they were overcome before them, went in flight by way of the waste land.
Chu mi zawhah chuan diabolan khaw thianghlimah chuan a hruai lut a, Pathian biak in chhip zumah chuan a dah a,	Then the Evil One took him to the holy town; and he put him on the highest point of the Temple and said to him,
Tichuan chu mi rama mite chuan Josia fapa Jehoahaza chu an hruai a, Jerusalem-ah a pa aiah lalah an siam ta a.	Then the people of the land took Jehoahaz, the son of Josiah, and made him king in Jerusalem in place of his father.
Tin, chu thi inthup chu zân inlârnaah Daniela hnênaah a lang ta a. Tin, Daniela chuan vân pathian chu a fak a.	Then the secret was made clear to Daniel in a vision of the night. And Daniel gave blessing to the God of heaven.
chu mite chuan nasa takin min chawimawi a; tin, kan kal dawn chuan kan chakkhai apiang lawngah an dah hlawm a.	Then they gave us great honour, and, when we went away, they put into the ship whatever things we were in need of.
Israela thlahte pawh chutah chuan ka rawn be thin ang; tichuan puanin chu ka ropui naa tihthianghlim a ni ang.	There I will come face to face with the children of Israel, and the Tent will be made holy by my glory
Aw LALPA, pathiante zingah nang ang rêng rêng an awm lo va, I thiltihte ang hi thiltih rêng rêng a awm hek lo.	There is no god like you, O Lord; there are no works like your works.
Chu chu thangthar lo la awm tûr tan chuan ziak ani ang a: Hnam siama lo la awm tûr chuan LALPA chu an fak ang.	This will be put in writing for the coming generation, and the people of the future will give praise to the Lord.
Moab lal Zipora fapa Balaka aiin i chak zawk em ni/ ani chuan Israel-hote kha a chawk buaiin, a do ngai em ni?	What! are you any better than Balak, the son of Zippor, king of Moab? Did he ever take up a cause against Israel or make war against them?
Nang chuan thim i siam a, zan a lo ni thin a; Chu mi hunah chuan ramhnuaia sa tinrengte chu an tla chuak thin.	When you make it dark, it is night, when all the beasts of the woods come quietly out of their secret places.
Kan chungah i thinurn kumkhua dawn êm ni le? I thinur chu chhuan zawng zawng thlengin i lantir zel dawn êm ni?	Will you go on being angry with us for ever? will you keep your wrath against us through all the long generations?
Uain hi nuihzatbura mi siamtu a ni a, zupui hi insual bung bungna a ni; Chu mi buma awmte chu an fing lo a ni.	Wine makes men foolish, and strong drink makes men come to blows; and whoever comes into error through these is not wise.
Hmasânga kan pute hnêna chhia i chham tawh, Jakoba hnêna thutak leh Abrahama hnêna khawngaihna chu i hlen ang.	You will make clear your good faith to Jacob and your mercy to Abraham, as you gave your oath to our fathers from times long past.
Ram lo thleng tur, kan Pa Davida ram chu chawimawiin awm rawh se. Chungnung berah khian Hosanna! tiin an au va.	A blessing on the coming kingdom of our father David: Glory in the highest.
Thisen chhuah hmang khawpui chu a chung a pik e! Dâwt leh inrawknain a khat vek a; an sa seh chu a chat lak lo.	A curse is on the town of blood; it is full of deceit and violent acts; and there is no end to the taking of life.
Tin, Ahituba fapa Ahimeleka fapate zinga pakhat, a hming Abiathara chu a tlan chhuak a, Davida hnênah a tlan a.	And Abiathar, one of the sons of Ahimelech, the son of Ahitub, got away and went in flight after David;
tin, ruang hnaih ber khaw upate zawng zawng chuan ruama bawng la ring an tan chungah chuan an kut an sil ang a;	And all the responsible men of that town which is nearest to the dead man, washing their hands over the cow whose neck was broken in the valley,
Tichuan sal sarihte chu chi reng reng thlah lovin an thi zel a. A hnuhnung beran hmeichhia pawh chu a thi ta a.	And all the seven had no seed. Last of all the woman herself came to her death.
Keipawh hian ka hmu hmaih lo vang a, ka khawngaih hek lo vang; an sual mawh chu a bûrin ka khumtîr ang, a ti a.	And as for me, my eye will not have mercy, and I will have no pity, but I will send the punishment of their ways on their heads.
sidar thin gchiar sen loh nen; Zidon mi leh tûra miten Davida hnênah chuan sidar thing tam tak an rawn la a ni.	And cedar-trees without number, for the Zidonians and the men of Tyre came with a great amount of cedar-trees for David.
Tin, Pathianin thu apek angin Davida chuan a ti a; Philistia sipaite chu Gibeon atanga Gezer thalngin an bei a.	And David did as the Lord had said; and they overcame the army of the Philistines, attacking them from Gibeon as far as Gezer.
Ka maicham lâwn chhohna rahkaahte chuan lâwn pawh i lâwn chho tûr a ni lo ve, saruak a i awm a lan lohna tûrin.	And do not go up by steps to my altar, for fear that your bodies may be seen uncovered.
Levi-hote pawh hian biak bûk leh a rawngbawl nân bungbêl zawng zawngte hi an zawn a ngai tawh lo ve, a ti a ni.	And from now, there will be no need for the House of the Lord, and the vessels used in it, to be moved about by the Levites.
Tichuan Hamora leh a fapa Sekema chu khandaih hriamin an that a, Sekema in ata Dinaii chu an hruai chhuak ta a.	And Hamor and his son they put to death with the sword, and they took Dinah from Shechem's house and went away.
Tichuan chu tuichhunchhuah chu Siba a vuah a; chuvangin chu mi khaw hming chu tun thlengin Beer-seba a la ni a.	And he gave it the name of Shibah: so the name of that town is Beer-sheba to this day.
Tin, khuate pawh a siam bawk a, berâm rual leh bawng rual a ngah êm êm mai a; Pathianin neinung takin a siam a.	And he made towns for himself, and got together much property in flocks and herds: for God had given him great wealth.
Hezekia pawh chuan, LALPA inah ka chho leh ang tih hriatna eng chhinchhiahna nge lo awm ang? a lo ti tawh a ni.	And Hezekiah said, What is the sign that I will go up to the house of the Lord?
Anmahni leh ka tlângvêl hmunte chu mal ka sawm ang a, a huntein ruah ka surtîr ang a, malsawm ruahte a sur ang.	And I will give the rain at the right time, and I will make the shower come down at the right time; there will be showers of blessing.
Chutichuan Jonathana chuan,Davida hmêlmate lakah LALPAN a phut ang, tiin Davida chhûngte hnênah thu a thlung a.	And if it comes about that the name of Jonathan is cut off from the family of David, the Lord will make David responsible.
